datetime,search_config,query_set_id,query,metric,value
2024-07-01,research_1,sampled_queries,パナックスジンセン,dcg,0.1170574755672868
2024-07-01,research_1,sampled_queries,メダカ,dcg,1.634407528599817
2024-07-01,research_1,sampled_queries,メバル ルアー,dcg,1.666816484839604
2024-07-01,research_1,sampled_queries,単4充電池 エネループ,dcg,0.5717734625362931
2024-07-01,research_1,sampled_queries,回転灯 ネットワーク,dcg,0.7663557128430054
2024-07-01,research_1,sampled_queries,大黒摩季,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,新米,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,米美糀,dcg,0.1170574755672868
2024-07-01,research_1,sampled_queries,舞台 アイシャドウ,dcg,1.0
2024-07-01,research_1,top_queries,arc fault breakers 15 amp,dcg,0.0
2024-07-01,research_1,top_queries,blue pro scooter,dcg,0.0
2024-07-01,research_1,top_queries,cascos con microfono,dcg,1.0
2024-07-01,research_1,top_queries,cat christmas bow tie,dcg,2.161840901377598
2024-07-01,research_1,top_queries,checkbook covers for personal checkbook,dcg,1.6309297535714575
2024-07-01,research_1,top_queries,costumes capes,dcg,1.6309297535714575
2024-07-01,research_1,top_queries,games programming in python,dcg,1.0
2024-07-01,research_1,top_queries,gelly roll stardust,dcg,1.0452840130309937
2024-07-01,research_1,top_queries,graco rac x guard,dcg,0.0
2024-07-01,research_1,top_queries,kids greek mythology books,dcg,0.0
2024-07-01,research_1,top_queries,koral legging,dcg,1.0
2024-07-01,research_1,top_queries,leggins termicos mujer sin costuras,dcg,3.029687060084175
2024-07-01,research_1,top_queries,lorna doone by r. d. blackmore,dcg,1.0
2024-07-01,research_1,top_queries,no slip commercial rugs,dcg,0.0
2024-07-01,research_1,top_queries,personalized christmas graphic raglan t shirt,dcg,1.6309297535714575
2024-07-01,research_1,top_queries,pumpkin push ins,dcg,2.1309297535714578
2024-07-01,research_1,top_queries,race car onesie,dcg,1.0
2024-07-01,research_1,top_queries,wood stove insert,dcg,0.0
2024-07-01,research_1,top_queries,天使の涙,dcg,0.0
2024-07-01,research_1,top_queries,瞬間せっちゃくざい 白くならない,dcg,1.2027032161077507
2024-06-30,research_1,sampled_queries,00g 目立たない,dcg,1.2027032161077507
2024-06-30,research_1,sampled_queries,1 & 1/4 pvp water suction hose without couplings 100 ft,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,10 and 8 yr old. make up without the nieal plush,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,11' x 11' patio umbrella square without led lighys,dcg,1.0811707442991403
2024-06-30,research_1,sampled_queries,23x10.5 tractor intertubes,dcg,1.0
2024-06-30,research_1,sampled_queries,26x2.10 sin dibujo,dcg,0.7027032161077507
2024-06-30,research_1,sampled_queries,2人 ソファー 肘なし 本体,dcg,0.634407528599817
2024-06-30,research_1,sampled_queries,360 ground blind,dcg,0.0
2024-06-30,research_1,sampled_queries,4t camo sweat shirt,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,75 gallon fish tanks,dcg,0.0
2024-06-30,research_1,sampled_queries,a curse so dark and lonely,dcg,0.0
2024-06-30,research_1,sampled_queries,a15 fan bulb ge,dcg,1.0
2024-06-30,research_1,sampled_queries,ac drier receiver,dcg,1.0
2024-06-30,research_1,sampled_queries,adidas regista 16 short,dcg,1.0811707442991403
2024-06-30,research_1,sampled_queries,adidas samoa men,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,aguascalientes hat,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,airaid filters,dcg,0.0
2024-06-30,research_1,sampled_queries,aka,dcg,0.0
2024-06-30,research_1,sampled_queries,all day office chair,dcg,1.0
2024-06-30,research_1,sampled_queries,assassins creed woman costume,dcg,0.0
2024-06-30,research_1,sampled_queries,asus laptop charger adp-120rh b,dcg,1.0
2024-06-30,research_1,sampled_queries,attote for men,dcg,0.0
2024-06-30,research_1,sampled_queries,auriculares cancelación de ruido,dcg,1.0
2024-06-30,research_1,sampled_queries,auto mirror 6x7,dcg,0.0
2024-06-30,research_1,sampled_queries,baby nursery nightlight,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,babymetal metal galaxy,dcg,0.0
2024-06-30,research_1,sampled_queries,ballet protectors,dcg,0.0
2024-06-30,research_1,sampled_queries,bathtub mat,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,bellas story,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,black buttons,dcg,1.0
2024-06-30,research_1,sampled_queries,black socks ladies mesh,dcg,0.0
2024-06-30,research_1,sampled_queries,blu ray grabador interno,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,blue poster,dcg,1.0
2024-06-30,research_1,sampled_queries,blue rocking chair,dcg,0.0
2024-06-30,research_1,sampled_queries,bluray movie collection,dcg,0.0
2024-06-30,research_1,sampled_queries,box frame,dcg,0.0
2024-06-30,research_1,sampled_queries,broadway t shirts,dcg,1.0
2024-06-30,research_1,sampled_queries,bts love yourself bag,dcg,1.0
2024-06-30,research_1,sampled_queries,cantu detangler,dcg,0.0
2024-06-30,research_1,sampled_queries,cardigan,dcg,1.0
2024-06-30,research_1,sampled_queries,cat birthday box,dcg,0.0
2024-06-30,research_1,sampled_queries,cat pee deterrent,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,chad wild clay merch spy kit,dcg,0.0043884634832395825
2024-06-30,research_1,sampled_queries,chain lingerie,dcg,1.0
2024-06-30,research_1,sampled_queries,cheetah print jeans,dcg,0.0
2024-06-30,research_1,sampled_queries,chillys bottle,dcg,0.0
2024-06-30,research_1,sampled_queries,chuck,dcg,0.0
2024-06-30,research_1,sampled_queries,citizen limited edition,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,cloud lamps hanging,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,coffee+table+tray,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,cojin grande animales,dcg,0.045284013030993664
